"C:\Program Files (x86)\Steam\steamapps\common\SourceFilmmaker\game\sfm.exe" +sv_lan 1 -useqtport -tools -dev -sw -w 1280 -h 720 +mat_hdr_level 3 +mat_queue_mode 0 -game usermod -insecure

c:\users\timothy\documents\github\sfmanimation\scene1.dmx#0

1280x720 @24.00 fps
motion blur samples:    per-camera settings
depth of field samples: per-camera settings

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
    149	  0.315	     51	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    150	  0.314	     51	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    151	  0.322	     51	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    152	  0.322	     52	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    153	  0.322	     52	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    154	  0.315	     52	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    155	  0.319	     52	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    156	  0.319	     53	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    157	  0.315	     53	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    158	  0.276	     53	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    159	  0.318	     54	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    160	  0.313	     54	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    161	  0.325	     54	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    162	  0.313	     55	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    163	  0.312	     55	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    164	  0.321	     55	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    165	  0.316	     56	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    166	  0.318	     56	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    167	  0.321	     56	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    168	  0.327	     57	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    169	  0.317	     57	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    170	  0.280	     57	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    171	  0.323	     58	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    172	  0.333	     58	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    173	  0.338	     58	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    174	  0.335	     59	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    175	  0.340	     59	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    176	  0.350	     59	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    177	  0.353	     60	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    178	  0.354	     60	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    179	  0.341	     60	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    180	  0.292	     61	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    181	  0.330	     61	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    182	  0.336	     61	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    183	  0.321	     62	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    184	  0.328	     62	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    185	  0.313	     62	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    186	  0.327	     62	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    187	  0.331	     63	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    188	  0.328	     63	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    189	  0.332	     63	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    190	  0.625	     64	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    191	  0.288	     64	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    192	  0.306	     65	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    193	  0.275	     65	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    194	  0.283	     65	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    195	  0.273	     66	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    196	  0.261	     66	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    197	  0.269	     66	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    198	  0.292	     66	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    199	  0.300	     67	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    200	  0.323	     67	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    201	  0.314	     67	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    202	  0.305	     68	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    203	 22.562	     90	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    204	  0.362	     91	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    205	  0.344	     91	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    206	  0.339	     91	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    207	  0.344	     92	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    208	  0.347	     92	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    209	  0.315	     92	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    210	  0.293	     93	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    211	  0.341	     93	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
